q_id,ans
0000421,E
0000422,B
0000731,B
0000732,
0000740,D
0000741,C
0001330,D
0001331,C
0001360,C
0001361,A
0001390,C
0001391,A
0001392,A
0001430,D
0001431,A
0001432,A
0001640,A
0001641,A
0001642,D
0001921,C
0001922,C
0001961,A
0001962,C
0002080,D
0002081,B
0002082,E
0002410,C
0002411,D
0002412,B
0002570,E
0002830,D
0002832,B
0002940,D
0002941,D
0003280,B
0003281,A
0003282,D
0003381,C
0003382,C
0003571,A
0003572,B
0003590,A
0003601,B
0003870,A
0003871,A
0003951,C
0003952,B
0003970,B
0003971,A
0003972,D
0004000,C
0004001,B
0004152,E
0004280,A
0004282,E
0004590,E
0004591,B
0004740,B
0004741,D
0004861,B
0004862,A
0004880,C
0005200,C
0005361,A
0005440,B
0005441,A
0005442,D
0005642,D
0005890,A
0005892,D
0005900,D
0005990,A
0005991,D
0005992,C
0006230,A
0006262,E
0006320,D
0006362,E
0006410,A
0006411,E
0006412,B
0006610,B
0006611,A
0006750,E
0006752,B
0006921,C
0006922,D
0006930,C
0006931,B
0006932,D
0006990,C
0007111,B
0007112,E
0007150,A
0007151,A
0007152,B
0007240,C
0007242,D
0007300,E
0007570,C
0007610,C
0007611,B
0007640,A
0007641,D
0007722,B
0007752,D
0007760,C
0007761,C
0007762,A
0008020,C
0008022,B
0008100,B
0008101,B
0008102,A
0008271,E
0008272,A
0008311,A
0008312,A
0008362,D
0008720,C
0008722,C
0008731,C
0008732,C
0008850,B
0008851,D
0008852,B
0009230,A
0009231,C
0009232,D
0009390,C
0009392,B
0009620,D
0009622,A
0009690,B
0009691,D
0009692,D
0009740,E
0009850,E
0009851,A
0009852,C
0009870,D
0009871,B
0009872,C
0009990,C
0009991,C
0009992,A
0010000,E
0010290,B
0010291,C
0010640,E
0010641,E
0010831,E
0010832,B
0010890,A
0010891,C
0011030,A
0011380,B
0011381,A
0011460,C
0011461,A
0011462,D
0011490,A
0011491,B
0011492,A
0011531,D
0011532,D
0011640,D
0011710,C
0011760,D
0011761,C
0011762,E
0011800,D
0011801,D
0011802,A
0012051,C
0012052,A
0012280,D
0012282,E
0012440,B
0012441,D
0012442,E
0012680,C
0012681,A
0012682,C
0012702,E
0012901,D
0012920,A
0012921,B
0012922,B
0012960,E
0012961,C
0012962,E
0013401,D
0013402,C
0013420,D
0013421,B
0013470,A
0013471,E
0013530,A
0013531,B
0013690,E
0013740,E
0013741,
0013930,C
0013980,D
0013982,B
0014040,E
0014041,B
0014360,B
0014361,B
0014420,A
0014641,E
0014901,C
0014902,B
0015030,B
0015031,E
0015251,A
0015320,E
0015321,D
0015322,B
0015610,A
0015612,D
0015630,A
0015632,C
0015731,D
0015732,
0015770,D
0015771,C
0015772,C
0015841,A
0015842,E
0015900,C
0015901,B
0015910,C
0015912,C
0015920,E
0015990,A
0015992,C
0016260,E
0016261,D
0016470,C
0016471,E
0016472,A
0016550,B
0016552,A
0016670,B
0016671,C
0016672,B
0016680,E
0016681,E
0016682,A
0016750,D
0016751,D
0016752,B
0016821,D
0017390,D
0017392,B
0017571,C
0017611,B
0017791,D
0017792,E
0017991,D
0018030,B
0018032,E
0018400,B
0018401,E
0018402,D
0018410,E
0018412,A
0018520,D
0018521,B
0018522,A
0018562,C
0018690,B
0018692,E
0019030,C
0019031,D
0019032,B
0019480,E
0019481,B
0019482,B
0019550,C
0019551,A
0019552,B
0019600,A
0019602,D
0019871,E
0019872,B
0019931,B
0020060,C
0020061,C
0020062,D
0020141,D
0020142,D
0020610,C
0020611,C
0020612,A
0021240,E
0021241,A
0021242,A
0021390,B
0021391,E
0021422,A
0021490,E
0021491,A
0021492,A
0021531,D
0021532,E
0021540,C
0021541,D
0021570,E
0021571,D
0021572,C
0021640,D
0021641,D
0021642,D
0021710,D
0021711,D
0021790,C
0021910,B
0021911,E
0021912,A
0022120,B
0022121,C
0022122,D
0022250,A
0022351,E
0022352,C
0022390,B
0022391,E
0022400,A
0022401,A
0022550,C
0022551,B
0022552,D
0022611,A
0022902,A
0022950,E
0022951,D
0022990,E
0022992,A
0023021,C
0023022,C
0023150,E
0023151,E
0023152,C
0023881,A
0023882,B
0024312,E
0024340,A
0024531,D
0024731,D
0024732,D
0024770,B
0024771,A
0024950,B
0025210,
0025211,B
0025212,A
0025250,B
0025251,C
0025252,A
0025290,A
0025291,A
0025292,E
0025321,A
0025621,D
0025622,A
0025870,B
0025871,D
0025921,B
0026130,E
0026131,C
0026210,A
0026211,A
0026212,C
0026400,A
0026401,C
0026841,E
0026842,C
0026851,C
0026852,E
0026901,B
0026902,C
0027530,B
0027531,C
0027532,B
0027591,C
0027592,E
0028222,B
0028390,B
0028671,B
0028811,E
0028901,D
0028942,A
0029230,C
0029231,C
0029720,A
0029721,A
0029850,D
0029851,E
0029852,E
0029880,E
0029881,B
0030010,B
0030011,A
0030012,D
0030140,B
0030141,C
0030142,E
0030352,B
0030670,E
0030671,B
0030672,C
0030840,B
0030842,B
0030910,B
0030912,C
0030930,B
0030931,A
0031030,D
0031031,A
0031032,C
0031090,B
0031091,E
0031092,C
0031250,B
0031252,D
0031342,B
0031450,C
0031490,B
0031492,C
0031560,B
0031561,D
0031562,A
0031921,C
0032091,B
0032170,D
0032440,E
0032441,C
0032550,E
0032551,E
0032552,E
0033101,B
0033102,E
0033261,E
0033262,C
0033351,C
0033370,D
0033371,E
0033372,C
0033420,B
0033421,B
0033422,C
0033781,D
0033821,B
0034250,A
0034252,A
0034662,D
0034800,D
0034880,A
0034881,D
0034882,A
0035010,E
0035011,B
0035530,C
0035531,B
0035800,E
0035801,D
0035900,E
0035951,B
0036611,A
0036900,A
0036901,A
0036902,A
0036930,D
0036931,C
0036940,D
0037030,B
0037031,C
0037111,D
0037161,D
0037420,D
0037421,E
0037610,C
0037612,A
0037710,D
0037790,B
0037791,D
0037861,B
0037930,C
0037940,C
0037990,C
0037991,E
0038170,D
0038172,C
0038370,A
0038371,E
0038452,D
0038490,B
0038670,A
0038671,C
0038672,E
0039261,D
0039262,E
0039320,E
0039321,A
0039322,C
0039340,B
0039341,E
0039342,E
0039380,E
0039381,A
0039390,A
0039391,B
0039470,E
0039471,E
0039640,A
0039641,B
0039642,E
0039830,E
0039831,C
0040110,A
0040112,A
0040210,E
0040211,A
0040212,D
0040661,B
0040690,E
0040790,B
0040791,E
0040792,A
0040920,C
0040921,D
0040922,A
0040930,C
0040931,A
0040932,A
0041080,D
0041081,E
0041082,E
0041250,D
0041251,C
0041340,D
0041342,A
0041570,A
0041571,B
0041572,D
0041751,D
0041870,D
0041871,B
0042112,E
0042120,E
0042121,B
0042270,D
0042271,A
0042272,A
0042290,D
0042291,A
0042292,C
0042431,C
0042461,D
0042560,A
0042561,D
0042650,D
0042652,C
0042661,A
0042662,E
0042750,A
0042751,E
0042752,E
0042830,A
0042831,D
0042832,B
0042860,E
0042961,B
0042962,B
0043120,B
0043122,B
0043380,A
0043381,A
0043550,A
0043551,B
0043552,B
0043592,C
0043860,C
0043861,D
0043862,A
0043920,B
0043921,A
0043922,D
0043951,A
0043961,A
0044950,A
0044951,A
0044952,A
0044971,E
0044981,C
0045090,E
0045091,B
0045092,C
0045510,D
0045511,A
0045540,E
0045541,A
0045761,C
0045762,A
0045921,D
0046200,C
0046201,E
0046202,E
0046651,E
0046780,A
0046880,A
0046881,A
0046882,A
0047000,D
0047001,C
0047002,A
0047312,D
0047360,E
0047361,D
0047421,B
0047490,A
0047491,E
0047540,D
0047541,D
0047601,C
0047602,B
0047642,C
0047650,B
0047651,E
0047652,A
0047720,A
0047721,A
0047950,D
0047951,C
0048400,A
0048401,B
0048402,E
0049161,C
0049360,D
0049361,C
0049362,C
0049720,D
0049721,C
0049750,A
0049751,C
0049752,A
0049800,A
0049801,E
0049880,B
0050010,D
0050011,E
0050012,A
0050320,B
0050321,A
0050330,D
0050371,
0050372,A
0050601,B
0050602,A
0050640,B
0050641,C
0050762,A
0051050,E
0051051,D
0051052,A
0051071,B
0051072,C
0051230,A
0051231,E
0051241,B
0051460,B
0051461,B
0051540,C
0051541,E
0051542,D
0051780,E
0051781,D
0051782,D
0051840,B
0051841,C
0051842,A
0051930,C
0051931,B
0052050,A
0052051,E
0052131,E
0052250,C
0052251,B
0052450,C
0052451,E
0052452,D
0052470,C
0052471,A
0052781,A
0052782,D
0052820,E
0052821,C
0052822,A
0053140,E
0053141,C
0053142,E
0053251,C
0053252,C
0053281,B
0053521,A
0053522,E
0053560,B
0053561,E
0053851,A
0053880,D
0053882,B
0054120,A
0054121,A
0054122,B
0054181,B
0054182,C
0054370,E
0054371,B
0054760,C
0054761,B
0054762,E
0054770,E
0054771,A
0054772,E
0054860,C
0054862,D
0055020,E
0055130,A
0055290,D
0055292,E
